               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.034308,            0.015206,            0.025322,              0.7681,             0.77568,             0.81535,             0.54432,            0.027506,           0.0056874,           0.0080773,            0.007822,            0.007822,            0.007822
                 112,             0.03438,            0.015342,            0.025451,             0.76959,             0.77724,             0.81642,              0.5458,            0.027484,            0.005686,           0.0080376,           0.0078022,           0.0078022,           0.0078022
                 113,            0.034146,            0.015379,            0.025707,              0.7697,             0.77924,             0.81667,             0.54582,            0.027468,           0.0056843,           0.0080069,           0.0077824,           0.0077824,           0.0077824
                 114,            0.034371,            0.015216,              0.0252,             0.77202,             0.77926,             0.81585,              0.5451,            0.027451,            0.005682,           0.0079764,           0.0077626,           0.0077626,           0.0077626
                 115,            0.034314,            0.015339,             0.02501,             0.77261,             0.78057,             0.81611,             0.54559,            0.027435,           0.0056794,           0.0079426,           0.0077428,           0.0077428,           0.0077428
                 116,            0.034299,            0.015215,              0.0249,             0.77345,             0.78111,             0.81669,             0.54612,            0.027419,           0.0056769,           0.0079173,            0.007723,            0.007723,            0.007723
                 117,            0.034317,            0.015213,            0.025015,             0.77557,             0.78044,             0.81783,             0.54723,            0.027402,           0.0056746,           0.0078824,           0.0077032,           0.0077032,           0.0077032
                 118,              0.0339,            0.015237,             0.02515,             0.77626,             0.78154,              0.8187,             0.54796,            0.027384,           0.0056726,           0.0078511,           0.0076834,           0.0076834,           0.0076834
                 119,            0.034344,            0.015354,            0.024703,             0.77444,              0.7836,             0.81945,             0.54871,            0.027376,            0.005671,           0.0078214,           0.0076636,           0.0076636,           0.0076636
                 120,             0.03433,            0.015275,            0.024729,             0.77534,             0.78426,             0.82005,             0.54932,             0.02736,           0.0056685,           0.0077922,           0.0076438,           0.0076438,           0.0076438
                 121,            0.034078,            0.015403,            0.024691,             0.77656,             0.78404,              0.8211,              0.5497,            0.027347,           0.0056666,           0.0077579,            0.007624,            0.007624,            0.007624
                 122,            0.033839,            0.015077,             0.02442,             0.77732,             0.78395,             0.82184,             0.55029,            0.027333,           0.0056645,           0.0077276,           0.0076042,           0.0076042,           0.0076042
                 123,             0.03401,            0.015242,            0.024207,             0.77671,             0.78514,             0.82257,             0.55093,            0.027318,           0.0056629,           0.0076995,           0.0075844,           0.0075844,           0.0075844
                 124,            0.033799,            0.015218,            0.024578,             0.77863,             0.78445,              0.8232,             0.55127,            0.027302,           0.0056616,           0.0076709,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033987,            0.015285,            0.024401,             0.78027,             0.78602,             0.82377,               0.552,            0.027287,           0.0056601,           0.0076442,           0.0075448,           0.0075448,           0.0075448
                 126,            0.033987,            0.015108,             0.02419,             0.78358,             0.78494,             0.82463,             0.55279,            0.027275,           0.0056577,           0.0076207,            0.007525,            0.007525,            0.007525
                 127,            0.034059,            0.015302,            0.024045,             0.78404,             0.78557,             0.82546,             0.55357,            0.027259,           0.0056559,           0.0075907,           0.0075052,           0.0075052,           0.0075052
                 128,            0.033936,            0.015201,            0.024399,              0.7838,             0.78541,             0.82587,             0.55379,            0.027246,           0.0056545,           0.0075684,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034117,            0.015198,            0.024146,             0.78629,             0.78497,             0.82646,             0.55448,            0.027234,           0.0056527,            0.007541,           0.0074656,           0.0074656,           0.0074656
                 130,            0.033976,            0.015118,            0.023725,              0.7872,             0.78463,             0.82703,              0.5548,            0.027224,           0.0056509,           0.0075146,           0.0074458,           0.0074458,           0.0074458
                 131,            0.033881,            0.015087,            0.023861,             0.78882,             0.78443,             0.82769,             0.55531,            0.027217,           0.0056492,           0.0074905,            0.007426,            0.007426,            0.007426
                 132,            0.034245,            0.015305,            0.024117,             0.78941,             0.78587,             0.82803,             0.55583,            0.027207,           0.0056482,           0.0074657,           0.0074062,           0.0074062,           0.0074062
                 133,            0.033734,            0.015061,            0.024526,             0.79154,             0.78612,             0.82876,             0.55647,            0.027197,            0.005647,           0.0074423,           0.0073864,           0.0073864,           0.0073864
                 134,            0.033903,            0.015208,            0.023768,             0.79068,              0.7872,             0.82908,             0.55676,            0.027185,           0.0056453,           0.0074155,           0.0073666,           0.0073666,           0.0073666
                 135,            0.033876,            0.015145,             0.02333,             0.79365,             0.78708,             0.82979,             0.55749,            0.027174,           0.0056437,           0.0073929,           0.0073468,           0.0073468,           0.0073468
                 136,              0.0337,            0.015298,            0.023651,             0.79398,             0.78767,             0.83046,             0.55782,            0.027164,           0.0056417,           0.0073697,            0.007327,            0.007327,            0.007327
                 137,            0.033816,            0.015218,            0.023502,             0.79561,             0.78833,             0.83112,             0.55886,            0.027156,           0.0056404,           0.0073454,           0.0073072,           0.0073072,           0.0073072
                 138,            0.033848,              0.0152,            0.023167,             0.79635,             0.78806,             0.83178,             0.55926,            0.027146,           0.0056392,            0.007323,           0.0072874,           0.0072874,           0.0072874
                 139,            0.033711,            0.015185,            0.023194,             0.79732,             0.78779,             0.83248,             0.55985,            0.027136,           0.0056379,           0.0073006,           0.0072676,           0.0072676,           0.0072676
                 140,             0.03381,            0.015138,            0.023284,             0.79858,             0.78922,             0.83309,             0.56032,            0.027125,           0.0056362,           0.0072786,           0.0072478,           0.0072478,           0.0072478
                 141,            0.033711,            0.015123,            0.023268,             0.79753,             0.79196,             0.83385,             0.56087,            0.027114,           0.0056343,           0.0072556,            0.007228,            0.007228,            0.007228
                 142,            0.033728,            0.015136,            0.023187,             0.80063,             0.79116,             0.83442,             0.56158,            0.027103,           0.0056328,           0.0072327,           0.0072082,           0.0072082,           0.0072082
                 143,            0.033744,            0.015144,            0.022655,             0.80134,             0.79216,             0.83503,             0.56218,            0.027092,            0.005631,           0.0072106,           0.0071884,           0.0071884,           0.0071884
                 144,            0.033286,            0.015215,            0.022589,             0.80256,             0.79101,             0.83576,             0.56316,            0.027079,           0.0056299,           0.0071871,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033553,            0.015082,            0.023076,             0.80354,             0.79178,             0.83623,             0.56368,            0.027067,           0.0056279,           0.0071632,           0.0071488,           0.0071488,           0.0071488
                 146,            0.033444,            0.015146,             0.02326,             0.80403,             0.79233,             0.83709,              0.5643,            0.027056,           0.0056265,            0.007141,            0.007129,            0.007129,            0.007129
                 147,            0.033737,            0.015171,            0.022778,             0.80504,             0.79229,             0.83769,             0.56493,            0.027044,           0.0056251,           0.0071203,           0.0071092,           0.0071092,           0.0071092
                 148,            0.033485,            0.015114,            0.022682,             0.80474,              0.7934,             0.83823,             0.56526,            0.027035,           0.0056237,           0.0071005,           0.0070894,           0.0070894,           0.0070894
